case_number,published_date,report_number,category,product,brand,name,model,production_dates,ec_type_approval,company_recall_code,risk_type,danger,risk_description,legal_provisions,measures,measures_economic_operators,description,notifying_country,country_of_origin,risk_level,reference_url,recall_website
A12/1302/19,,,Motor vehicles,Passenger car,Skoda,"Karoq, Kodiaq","Type-approval numbers: e8*2007/46*0272*, e8*2007/46*0249*; types: NU, NS",The affected vehicles were manufactured in January 2019.,,,Injuries,"Possible development of cracks in the mounting of the driver’s seat. This can reduce its protective function in case of an accident, increasing the risk of injury.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Skoda recall code: 72J6.,Germany,Czechia,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/381432,
A12/1303/19,,,Motor vehicles,Passenger car,"Jeep, Dodge, Chrysler","Wrangler,Challenger,Charger,Dakota,RAM,300,300C","Type-approval numbers: e4*2001/116*0116*18; type: JK (Jeep Wrangler);Individual approval (Dodge: Challenger, Charger, Dakota, RAM; Chrysler: 300, 300C)",The affected vehicles were manufactured between 29 April 2009 and 17 September 2016.,,,Injuries,"A defect in the gas generator of the passenger airbag may cause uncontrolled inflation when the airbag is activated. As a result, small metal particles can be released, increasing the risk of injury to the occupants.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Jeep/Dodge/Chrysler recall code: V01.,Germany,United States,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/381613,
A12/1278/19,,,Motor vehicles,Passenger car,Mazda,MX-5,Type-approval number: e11*2007/46*2661*00; type: ND,The affected vehicles were manufactured between 26 May 2015 and 6 July 2015.,,,Injuries,"The underbody panelling may be inadequately attached. As a result, it could become detached and fall onto the road, potentially damaging the tyres and posing a risk to the following traffic.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Mazda recall code: AK037A.,Germany,Japan,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/379449,
A12/1222/19,,,Motor vehicles,Passenger car,Ford,"Mondeo, Galaxy, SMAX","Type-approval numbers: e13*2001/116*0185*28 (SMAX), e13*2001/116*0185*31 (Galaxy), e13*2001/116*0249*27 (Mondeo)",The affected vehicles were manufactured between 13 February 2014 and 11 February 2019,,,Fire,"Potential leakage of battery acid around the battery negative terminal could cause the battery monitoring sensor to fail. Over time growth of copper sulphate may accumulate. This, in turn, could provide a conductive layer underneath the Battery Monitoring Sensor, creating a low resistance to ground. The increased current flow, due to low resistance, could cause the surrounding material to heat up to a point where it ignites, resulting in a fire.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Ford recall code: 18P11.,United Kingdom,Spain,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/376266,
A12/1240/19,,,Motor vehicles,Passenger car,Porsche,"Spyder, Cayman, 911","Type-approval numbers: e13*KS07/46*0015, e13*2007/46*1607, e13*2007/46*0992*00; types: 991G, 982, 992; sales descriptions: 718 Spyder, 718 Cayman GT4, 911 Carrera, 911 GT2 RS, 911 GT3 RS",The affected vehicles were manufactured between 21 January 2019 and 25 March 2019.,,,Injuries,"The nuts connecting the driveshaft to the wheel hub may not have been tightened to the required torque. As a result, the driveshaft and the wheel hub may become loose and the wheels could be blocked, increasing the risk of an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Porsche recall code: AKB2.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/379333,
A12/1225/19,,,Motor vehicles,Passenger car,Opel,Zafira C,Type-approval number: e4*2007/46*0204*36; type: P-J/SW,The affected vehicles were manufactured on 28 May 2019.,,,Injuries,"Due to a manufacturing defect, the rear windscreen could become detached and fall onto the road. This can pose a risk for the following traffic.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Opel recall code: E19-190247.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/379463,
A12/1245/19,,,Motor vehicles,Passenger car,Opel,Crossland X,Type-approval number: e4*2007/46*1194*00 to *01; type: P7 Monocab C,The affected vehicles were manufactured between 8 February 2017 and 2 June 2017.,,,Injuries,"The Rear Crash Management System is not installed. As a result, the risk of injuries for the occupants in the event of an accident will be increased.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Opel recall code: E191900610 (19-C-084).,Germany,Spain,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/379575,
A12/1226/19,,,Motor vehicles,Passenger car,Mazda,"3, 6, CX-5","Mazda 3 (BP), Mazda 6 (GL), CX-5 (KF)","The affected vehicles were manufactured between  7 November 2018 and 13 May 2019 (Mazda 3), between 26 March 2018 and 22 April 2019 (Mazda 6), between 20 June 2017 and 20 April 2019 (Mazda CX-5).",,,Injuries,"Due to a software error, the powertrain control module (PCM) may operate improperly when transitioning from cylinder deactivation to full cylinder activation modes. As a result, an intake valve rocker arm may come out of position and make contact with internal engine parts. This may cause the engine to stall in motion without the ability to be restarted, increasing the risk of an accident.",,,Type of economic operator taking notified measure(s): DistributorCategory of measure(s): Recall of the product from end usersDate of entry into force: 29/07/2019,,Passenger car under Mazda recall code: AK038A.,Romania,Japan,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/379610,
A12/1228/19,,,Motor vehicles,Passenger car,Mazda,3,BP,The affected vehicles were manufactured between 06 November 2018 and 7 March 2019.,,,Injuries,"The passenger airbag deactivation indicator light may turn off, even though the passenger airbag is deactivated.  In addition, the seatbelt status indicators of the front and rear passenger seats may turn off, even though the seatbelts are unfastened. False airbag and/or seatbelt indications may cause improper securing of the passengers, increasing the risk of injuries in the event of an accident.",,,Type of economic operator taking notified measure(s): DistributorCategory of measure(s): Recall of the product from end usersDate of entry into force: 01/08/2019,,Passenger car under Mazda recall code: AK023A.,Romania,Japan,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/379637,
A12/1253/19,,,Motor vehicles,Passenger car,VW,"Beetle, Golf, Polo","Type-approval numbers: e1*2001/116*0510*##, e1*2007/46*0539*##, e1*2007/46*0623*##, e1*2007/46*0627*##; types: 6R, 16, 5G, BA/AN; sales name: Polo, Beetle, Golf, Golf Variant/Sportsvan",The affected vehicles were manufactured between December 2013 and March 2015.,,,Injuries,"The belt pulley of the cam gear could break and the screws on the camshaft adjuster may loosen. As a result, engine oil can leak onto the road, posing a risk to the following traffic.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under VW recall code: 15H2.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/379801,
A12/1252/19,,,Motor vehicles,Passenger car,Audi,Q3,Type-approval number: e1*2007/46*0591*;  type: 8U,The affected vehicles were manufactured between 2014 and 2018.,,,Injuries,"The function control device of the Body Control Module (BCM) may be incorrectly configured. This may cause a malfunction of the front light-emitting diode (LED) turn signal lights (blinkers) without the required warning indicator (acoustic/optical), increasing the risk of an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Audi recall code: 97DK.,Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/379877,
A12/1186/19,,,Motor vehicles,Passenger car,LADA,"LADA 4x4, LADA 4x4 Urban","Type-approval numbers: e1*KS07/46*0021*, e2*KS07/46*0011*, e2*KS07/46*0012*, e2*KS07/46*0056*, e2*KS07/46*0077, E2*KS07/46*0076*; types: 2121EN, M2121, N2121, MU2121, M2131, MU2131",The affected vehicles were manufactured in 2017 and 2018.,,,Fire,The assembly of the generator cable may be incorrect. Defective generator cable can increase the risk of the vehicle catching fire.,,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,"Passenger car under Lada recall code: D2, C9.",Germany,Germany,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/377357,
A12/1188/19,,,Motor vehicles,Passenger car,Chrysler,Pacifica,Type-approval number: individual approval.,The affected vehicles were manufactured between 1 November 2017 and 28 February 2018.,,,Injuries,"The ball joint of the front right lower control arm may be insufficiently secured. This can lead to loss of steering control, increasing the risk of an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Chrysler recall code: V15.,Germany,United States,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/377699,
A12/1190/19,,,Motor vehicles,Passenger car,Lancia,Ypsilon,Type-approval number: e3*2007/46*0064*40; type: 312,The affected vehicles were manufactured between 7 November 2018 and 11 December 2018.,,,Injuries,"The front-right driveshaft may be defective. As a result, the driveshaft could break in motion, increasing the risk of an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Lancia recall code: 6229.,Germany,Italy,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/377711,
A12/1216/19,,,Motor vehicles,Passenger car,Mazda,3,Type-approval number: e13*2007/46*1972*01*03; type: BP,The vehicles affected were produced between 3 December 2018 and 18 April 2019.,,,Injuries,"The wheel nuts may not have been tightened to the correct torque. Consequently, they may become detached, increasing the risk of an accident.",,,Type of economic operator taking notified measure(s): ManufacturerCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,Passenger car under Mazda recall code: AK036A.,Germany,Japan,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/378057,
A12/1217/19,,,Motor vehicles,Passenger car,Honda,Various models,"Model codes:  Accord, Civic, CR-V, FR-V, Element, Jazz, Insight, Legend, Odyssey, Stream;Type-approval numbers: e11*2001/116*0234*00, e11*2001/116*0234*01, e11*98/14*0161*05, e11*98/14*....., e11*98/14*0190*02, e6*2001/116*0091*00, e6*2001/116*0091*02, e6*2001/116*0091*03, e6*2001/116*0092*00, e6*2001/116*0092*02, e6*2001/116*0092*03, e6*2001/116*0093*00, e6*2001/116*0....., e6*2001/116*0095*02, e6*2001/116*0096*00, e6*2001/116*0096*01, e6*2001/116*0096*02, e6*2001/116*0096*03, e6*2001/116*0097*00, e6*2001/116*0097*01, e6*2001/116*0097*02, e6*2001/116....., e6*2001/116*0101*01, e6*2001/116*0113*00, e6*2001/116*0113*01, e6*2001/116*0113*02, e6*2001/116*0115*01, e6*2001/116*0115*02, e6*2001/116*0115*03, e6*2001/116*0115*04, e6*2001/116....., e6*2001/116*0122*01, e6*2001/116*0122*03, e6*2001/116*0125*00, e6*2001/116*0125*01, e6*2001/116*0125*02, e6*2001/116*0125*03, e6*98/14*0072*01, e6*98/14*0072*02, e6*98/14*0072*03, , e6*98/14*0072*04, e6*98/14*0072*05, e6*98/14*0073*00, e6*98/14*0073*01, e6*98/14*0073*02, e6*98/14*0073*03, e6*98/14*0073*04, e6*98/14*0080*00, e6*98/14*0080*01e6*98/14*0080*01, , e6*98/14*0080*02, e6*98/14*0080*03, e6*98/14*0081*00, e6*98/14*0081*01, e6*98/14*0087*00, e6*98/14*0087*01, e6*98/14*0087*02, e6*98/14*0087*03, e6*98/14*0087*04, e6*98/14*0088*0....., e6*98/14*0088*04, e6*98/14*0088*07, e6*98/14*0088*08",The affected vehicles were manufactured between January 2001 and December 2015.,,,Injuries,"The airbag inflators may be defective and may create excessive internal pressure in the event of activation. As a result, the metal inflator casing may rupture, causing metal fragments to be propelled through the airbag and into the vehicle compartment. This may result in severe injury or even death to the vehicle occupants.",,,Type of economic operator taking notified measure(s): ImporterCategory of measure(s): Recall of the product from end usersDate of entry into force: Unknown,,"Passenger car under Honda recall code: 6CE, 6DE, 6EE, 6XH, 6ZT.",Portugal,People's Republic of China,Serious risk,https://ec.europa.eu/safety-gate-alerts/screen/webReport/alertDetail/378187,
